Country,CountryCode,Region,Continent,GDP,GDP_perCapita,lifeExpectancy
Tajikistan,TJK,Asia | East & Central,Asia,5642178579.58,739.73,66.9955122
Tanzania,TZA,Africa | North & East,Africa,30917376837.12,707.93,59.18170732
Thailand,THA,Asia | East & Central,Asia,318907930075.71,4802.66,73.81378049
Togo,TGO,Africa | South & West,Africa,3172945506.36,503.16,55.46887805
Tonga,TON,Oceania,Oceania,369212477.46,3546.78,72.18263415
Trinidad and Tobago,TTO,America | North & Central,Americas,20758191857.98,15630.05,69.59736585
Tunisia,TUN,Africa | North & East,Africa,44426016487.36,4212.15,74.60243902
Turkey,TUR,Asia | South & West,Asia,731168051903.11,10135.75,74.21119512
Turkmenistan,TKM,Asia | East & Central,Asia,22148070175.44,4392.72,65.01821951
Uganda,UGA,Africa | North & East,Africa,18803852465.55,553.26,57.29653659
Ukraine,UKR,Europe | South & East,Europe,136419300367.96,2974,70.26536585
United Arab Emirates,ARE,Asia | South & West,Asia,286049293398.98,33885.93,76.59860976
United Kingdom,GBR,Europe | North & West,Europe,2407933767804.59,38363.44,80.40243902
United States,USA,America | North & Central,Americas,14964400000000,48377.39,78.54146341
Uruguay,URY,America | South,Americas,38881102099.88,11530.64,76.61621951
Uzbekistan,UZB,Asia | East & Central,Asia,39332770928.94,1377.08,67.8587561
Vanuatu,VUT,Oceania,Oceania,700804286.22,2965.75,70.83890244
"Venezuela, RB",VEN,America | South,Americas,393801556872.31,13559.13,74.17046341
Vietnam,VNM,Asia | East & Central,Asia,115931749904.86,1333.58,75.31173171
"Yemen, Rep.",YEM,Asia | South & West,Asia,31743751169.32,1394.53,62.52765854
Zambia,ZMB,Africa | North & East,Africa,20265396325.59,1533.28,54.52756098
Zimbabwe,ZWE,Africa | North & East,Africa,9456808200,723.16,53.59312195
